Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Population [Pop],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Cost of a healthy diet [CoHD],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp]
Food Prices for Nutrition 1.1,FPN 1.1,Middle East & North Africa,MEA,2018,YR2018,402520882,33.3,118.1,3.223,..
Food Prices for Nutrition 1.1,FPN 1.1,Middle East & North Africa,MEA,2019,YR2019,409205838,34.3,121.6,3.308,..
Food Prices for Nutrition 1.1,FPN 1.1,Middle East & North Africa,MEA,2020,YR2020,414593143,32.5,115.1,3.37,..
Food Prices for Nutrition 1.1,FPN 1.1,Moldova,MDA,2017,YR2017,2755189,3.5,0.1,2.46,0.355
Food Prices for Nutrition 1.1,FPN 1.1,Moldova,MDA,2018,YR2018,2707203,2.8,0.1,2.571,..
Food Prices for Nutrition 1.1,FPN 1.1,Moldova,MDA,2019,YR2019,2664224,3.3,0.1,2.687,..
Food Prices for Nutrition 1.1,FPN 1.1,Moldova,MDA,2020,YR2020,2635130,3.9,0.1,2.814,..
Food Prices for Nutrition 1.1,FPN 1.1,Mongolia,MNG,2017,YR2017,3096030,58.2,1.8,4.544,0.979
Food Prices for Nutrition 1.1,FPN 1.1,Mongolia,MNG,2018,YR2018,3163991,55.2,1.7,4.667,..
Food Prices for Nutrition 1.1,FPN 1.1,Mongolia,MNG,2019,YR2019,3232430,52.4,1.7,4.901,..
Food Prices for Nutrition 1.1,FPN 1.1,Mongolia,MNG,2020,YR2020,3294335,54,1.7,5.103,..
Food Prices for Nutrition 1.1,FPN 1.1,Montenegro,MNE,2017,YR2017,622373,15.9,0.1,3.397,0.31
Food Prices for Nutrition 1.1,FPN 1.1,Montenegro,MNE,2018,YR2018,622227,17.1,0.1,3.414,..
Food Prices for Nutrition 1.1,FPN 1.1,Montenegro,MNE,2019,YR2019,622028,16.3,0.1,3.509,..
Food Prices for Nutrition 1.1,FPN 1.1,Montenegro,MNE,2020,YR2020,621306,16,0.1,3.494,..
Food Prices for Nutrition 1.1,FPN 1.1,Montserrat,MSR,2017,YR2017,..,..,..,4.883,0.784
Food Prices for Nutrition 1.1,FPN 1.1,Montserrat,MSR,2018,YR2018,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Montserrat,MSR,2019,YR2019,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Montserrat,MSR,2020,YR2020,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Morocco,MAR,2017,YR2017,35528115,21.4,7.6,2.71,0.641
Food Prices for Nutrition 1.1,FPN 1.1,Morocco,MAR,2018,YR2018,35927511,19.9,7.1,2.752,..
Food Prices for Nutrition 1.1,FPN 1.1,Morocco,MAR,2019,YR2019,36304408,18.8,6.8,2.759,..
Food Prices for Nutrition 1.1,FPN 1.1,Morocco,MAR,2020,YR2020,36688772,18.9,6.8,2.797,..
Food Prices for Nutrition 1.1,FPN 1.1,Mozambique,MOZ,2017,YR2017,28569441,91.1,26,3.031,1.932
Food Prices for Nutrition 1.1,FPN 1.1,Mozambique,MOZ,2018,YR2018,29423878,90.6,26.6,2.988,..
Food Prices for Nutrition 1.1,FPN 1.1,Mozambique,MOZ,2019,YR2019,30285595,90.7,26.7,3.057,..
Food Prices for Nutrition 1.1,FPN 1.1,Mozambique,MOZ,2020,YR2020,31178239,91.3,26.9,3.228,..
Food Prices for Nutrition 1.1,FPN 1.1,Myanmar,MMR,2017,YR2017,52288341,71,37.1,3.706,1.034
Food Prices for Nutrition 1.1,FPN 1.1,Myanmar,MMR,2018,YR2018,52666014,66.4,35,3.786,..
Food Prices for Nutrition 1.1,FPN 1.1,Myanmar,MMR,2019,YR2019,53040212,63.1,33.2,3.861,..
Food Prices for Nutrition 1.1,FPN 1.1,Myanmar,MMR,2020,YR2020,53423198,68.2,35.9,4.186,..
Food Prices for Nutrition 1.1,FPN 1.1,Namibia,NAM,2017,YR2017,2364534,55.5,1.3,3.255,0.979
Food Prices for Nutrition 1.1,FPN 1.1,Namibia,NAM,2018,YR2018,2405680,55.4,1.3,3.3,..
Food Prices for Nutrition 1.1,FPN 1.1,Namibia,NAM,2019,YR2019,2446644,56.9,1.4,3.378,..
Food Prices for Nutrition 1.1,FPN 1.1,Namibia,NAM,2020,YR2020,2489098,57.8,1.4,3.52,..
Food Prices for Nutrition 1.1,FPN 1.1,Nepal,NPL,2017,YR2017,28183426,79.9,22.5,4.127,1.057
Food Prices for Nutrition 1.1,FPN 1.1,Nepal,NPL,2018,YR2018,28506712,76.6,21.8,4.145,..
Food Prices for Nutrition 1.1,FPN 1.1,Nepal,NPL,2019,YR2019,28832496,74.5,21.2,4.222,..
Food Prices for Nutrition 1.1,FPN 1.1,Nepal,NPL,2020,YR2020,29348627,75.5,21.5,4.362,..
Food Prices for Nutrition 1.1,FPN 1.1,Netherlands,NLD,2017,YR2017,17131296,0.4,0.1,2.743,0.394
Food Prices for Nutrition 1.1,FPN 1.1,Netherlands,NLD,2018,YR2018,17231624,0.3,0,2.821,..
Food Prices for Nutrition 1.1,FPN 1.1,Netherlands,NLD,2019,YR2019,17344874,0.2,0,2.844,..
Food Prices for Nutrition 1.1,FPN 1.1,Netherlands,NLD,2020,YR2020,17441500,0.2,0,2.991,..
Food Prices for Nutrition 1.1,FPN 1.1,New Zealand,NZL,2017,YR2017,4813600,..,..,2.671,0.319
Food Prices for Nutrition 1.1,FPN 1.1,New Zealand,NZL,2018,YR2018,4900600,..,..,2.589,..
Food Prices for Nutrition 1.1,FPN 1.1,New Zealand,NZL,2019,YR2019,4979200,..,..,2.692,..
Food Prices for Nutrition 1.1,FPN 1.1,New Zealand,NZL,2020,YR2020,5090200,..,..,2.723,..
Food Prices for Nutrition 1.1,FPN 1.1,Nicaragua,NIC,2017,YR2017,6480532,31.9,2.1,3.191,0.935
Food Prices for Nutrition 1.1,FPN 1.1,Nicaragua,NIC,2018,YR2018,6572233,34.2,2.2,3.245,..
Food Prices for Nutrition 1.1,FPN 1.1,Nicaragua,NIC,2019,YR2019,6663924,35.3,2.3,3.279,..
Food Prices for Nutrition 1.1,FPN 1.1,Nicaragua,NIC,2020,YR2020,6755895,35.5,2.3,3.335,..
Food Prices for Nutrition 1.1,FPN 1.1,Niger,NER,2017,YR2017,21737922,92.9,20.2,2.85,4.064
Food Prices for Nutrition 1.1,FPN 1.1,Niger,NER,2018,YR2018,22577058,91.4,20.6,2.812,..
Food Prices for Nutrition 1.1,FPN 1.1,Niger,NER,2019,YR2019,23443393,90.4,20.4,2.792,..
Food Prices for Nutrition 1.1,FPN 1.1,Niger,NER,2020,YR2020,24333639,90.7,20.5,2.859,..
Food Prices for Nutrition 1.1,FPN 1.1,Nigeria,NGA,2017,YR2017,193495907,90.2,174.6,3.565,0.603
Food Prices for Nutrition 1.1,FPN 1.1,Nigeria,NGA,2018,YR2018,198387623,91.1,180.6,3.724,..
Food Prices for Nutrition 1.1,FPN 1.1,Nigeria,NGA,2019,YR2019,203304492,91.8,182.2,3.87,..
Food Prices for Nutrition 1.1,FPN 1.1,Nigeria,NGA,2020,YR2020,208327405,92.9,184.2,4.093,..
Food Prices for Nutrition 1.1,FPN 1.1,North America,NAC,2017,YR2017,361731237,1.9,6.8,3.386,..
Food Prices for Nutrition 1.1,FPN 1.1,North America,NAC,2018,YR2018,363967201,1.6,6,3.331,..
Food Prices for Nutrition 1.1,FPN 1.1,North America,NAC,2019,YR2019,365995094,1.4,5.2,3.325,..
Food Prices for Nutrition 1.1,FPN 1.1,North America,NAC,2020,YR2020,369602177,1.4,5.2,3.336,..
Food Prices for Nutrition 1.1,FPN 1.1,North Macedonia,MKD,2017,YR2017,2074502,20.1,0.4,3.318,0.434
Food Prices for Nutrition 1.1,FPN 1.1,North Macedonia,MKD,2018,YR2018,2076217,17.6,0.4,3.31,..
Food Prices for Nutrition 1.1,FPN 1.1,North Macedonia,MKD,2019,YR2019,2076694,16.1,0.3,3.336,..
Food Prices for Nutrition 1.1,FPN 1.1,North Macedonia,MKD,2020,YR2020,2072531,16.4,0.3,3.427,..
Food Prices for Nutrition 1.1,FPN 1.1,Norway,NOR,2017,YR2017,5276968,0.6,0,3.325,0.446
Food Prices for Nutrition 1.1,FPN 1.1,Norway,NOR,2018,YR2018,5311916,0.4,0,3.432,..
Food Prices for Nutrition 1.1,FPN 1.1,Norway,NOR,2019,YR2019,5347896,0.4,0,3.356,..
Food Prices for Nutrition 1.1,FPN 1.1,Norway,NOR,2020,YR2020,5379475,0.4,0,3.471,..
Food Prices for Nutrition 1.1,FPN 1.1,Oman,OMN,2017,YR2017,4541854,..,..,2.815,0.39
Food Prices for Nutrition 1.1,FPN 1.1,Oman,OMN,2018,YR2018,4601157,..,..,2.838,..
Food Prices for Nutrition 1.1,FPN 1.1,Oman,OMN,2019,YR2019,4602768,..,..,2.921,..
Food Prices for Nutrition 1.1,FPN 1.1,Oman,OMN,2020,YR2020,4543399,..,..,3.021,..
Food Prices for Nutrition 1.1,FPN 1.1,Pakistan,PAK,2017,YR2017,216379655,80.4,174,3.408,0.928
Food Prices for Nutrition 1.1,FPN 1.1,Pakistan,PAK,2018,YR2018,219731479,79.7,175.1,3.395,..
Food Prices for Nutrition 1.1,FPN 1.1,Pakistan,PAK,2019,YR2019,223293280,81.9,180,3.46,..
Food Prices for Nutrition 1.1,FPN 1.1,Pakistan,PAK,2020,YR2020,227196741,84.1,184.8,3.685,..
Food Prices for Nutrition 1.1,FPN 1.1,Panama,PAN,2017,YR2017,4096063,17.5,0.7,4.225,0.516
Food Prices for Nutrition 1.1,FPN 1.1,Panama,PAN,2018,YR2018,4165255,15.5,0.6,4.268,..
Food Prices for Nutrition 1.1,FPN 1.1,Panama,PAN,2019,YR2019,4232532,15.2,0.6,4.382,..
Food Prices for Nutrition 1.1,FPN 1.1,Panama,PAN,2020,YR2020,4294396,15.5,0.6,4.476,..
Food Prices for Nutrition 1.1,FPN 1.1,Paraguay,PRY,2017,YR2017,6355404,19.9,1.3,3.43,0.585
Food Prices for Nutrition 1.1,FPN 1.1,Paraguay,PRY,2018,YR2018,6443328,18.3,1.2,3.511,..
Food Prices for Nutrition 1.1,FPN 1.1,Paraguay,PRY,2019,YR2019,6530026,17.7,1.1,3.519,..
Food Prices for Nutrition 1.1,FPN 1.1,Paraguay,PRY,2020,YR2020,6618695,17.3,1.1,3.543,..
Food Prices for Nutrition 1.1,FPN 1.1,Peru,PER,2017,YR2017,31605486,26.6,8.4,3.084,0.696
Food Prices for Nutrition 1.1,FPN 1.1,Peru,PER,2018,YR2018,32203944,23.4,7.5,3.061,..
Food Prices for Nutrition 1.1,FPN 1.1,Peru,PER,2019,YR2019,32824861,23.3,7.5,3.248,..
Food Prices for Nutrition 1.1,FPN 1.1,Peru,PER,2020,YR2020,33304756,23.3,7.5,3.285,..
Food Prices for Nutrition 1.1,FPN 1.1,Philippines,PHL,2017,YR2017,106738501,70,74.8,3.843,0.586
Food Prices for Nutrition 1.1,FPN 1.1,Philippines,PHL,2018,YR2018,108568836,70,76,3.998,..
Food Prices for Nutrition 1.1,FPN 1.1,Philippines,PHL,2019,YR2019,110380804,67.6,73.4,4.054,..
Food Prices for Nutrition 1.1,FPN 1.1,Philippines,PHL,2020,YR2020,112190977,67.6,73.4,4.108,..
Food Prices for Nutrition 1.1,FPN 1.1,Poland,POL,2017,YR2017,37974826,1,0.4,2.909,0.381
Food Prices for Nutrition 1.1,FPN 1.1,Poland,POL,2018,YR2018,37974750,1.5,0.6,2.986,..
Food Prices for Nutrition 1.1,FPN 1.1,Poland,POL,2019,YR2019,37965475,0.9,0.3,3.038,..
Food Prices for Nutrition 1.1,FPN 1.1,Poland,POL,2020,YR2020,37899070,1,0.4,3.17,..
Food Prices for Nutrition 1.1,FPN 1.1,Portugal,PRT,2017,YR2017,10300300,1.1,0.1,2.513,0.278
Food Prices for Nutrition 1.1,FPN 1.1,Portugal,PRT,2018,YR2018,10283822,1.1,0.1,2.596,..
Food Prices for Nutrition 1.1,FPN 1.1,Portugal,PRT,2019,YR2019,10286263,0.5,0.1,2.579,..
Food Prices for Nutrition 1.1,FPN 1.1,Portugal,PRT,2020,YR2020,10297081,0.5,0.1,2.656,..
Food Prices for Nutrition 1.1,FPN 1.1,Qatar,QAT,2017,YR2017,2711755,..,..,2.375,0.466
Food Prices for Nutrition 1.1,FPN 1.1,Qatar,QAT,2018,YR2018,2766732,..,..,2.426,..
Food Prices for Nutrition 1.1,FPN 1.1,Qatar,QAT,2019,YR2019,2807235,..,..,2.484,..
Food Prices for Nutrition 1.1,FPN 1.1,Qatar,QAT,2020,YR2020,2760385,..,..,2.577,..
Food Prices for Nutrition 1.1,FPN 1.1,Romania,ROU,2017,YR2017,19588715,11.9,2.3,2.921,0.273
Food Prices for Nutrition 1.1,FPN 1.1,Romania,ROU,2018,YR2018,19473970,7.1,1.4,2.957,..
Food Prices for Nutrition 1.1,FPN 1.1,Romania,ROU,2019,YR2019,19371648,8.4,1.6,3.01,..
Food Prices for Nutrition 1.1,FPN 1.1,Romania,ROU,2020,YR2020,19265250,8.9,1.7,3.191,..
Food Prices for Nutrition 1.1,FPN 1.1,Russian Federation,RUS,2017,YR2017,144496739,3.3,4.7,3.149,0.343
Food Prices for Nutrition 1.1,FPN 1.1,Russian Federation,RUS,2018,YR2018,144477859,2.9,4.2,3.197,..
Food Prices for Nutrition 1.1,FPN 1.1,Russian Federation,RUS,2019,YR2019,144406261,2.5,3.6,3.264,..
Food Prices for Nutrition 1.1,FPN 1.1,Russian Federation,RUS,2020,YR2020,144073139,2.9,4.2,3.42,..
Food Prices for Nutrition 1.1,FPN 1.1,Rwanda,RWA,2017,YR2017,12230339,87,10.6,2.609,1.808
Food Prices for Nutrition 1.1,FPN 1.1,Rwanda,RWA,2018,YR2018,12531808,83.9,10.5,2.483,..
Food Prices for Nutrition 1.1,FPN 1.1,Rwanda,RWA,2019,YR2019,12835028,82.1,10.3,2.537,..
Food Prices for Nutrition 1.1,FPN 1.1,Rwanda,RWA,2020,YR2020,13146362,83.6,10.5,2.698,..
Food Prices for Nutrition 1.1,FPN 1.1,Sao Tome and Principe,STP,2017,YR2017,208036,76.6,0.2,3.288,0.702
Food Prices for Nutrition 1.1,FPN 1.1,Sao Tome and Principe,STP,2018,YR2018,211344,76.5,0.2,3.394,..
Food Prices for Nutrition 1.1,FPN 1.1,Sao Tome and Principe,STP,2019,YR2019,214599,76.4,0.2,3.463,..
Food Prices for Nutrition 1.1,FPN 1.1,Sao Tome and Principe,STP,2020,YR2020,218641,77.1,0.2,3.551,..
Food Prices for Nutrition 1.1,FPN 1.1,Saudi Arabia,SAU,2017,YR2017,34193122,..,..,3.441,0.329
Food Prices for Nutrition 1.1,FPN 1.1,Saudi Arabia,SAU,2018,YR2018,35018133,..,..,3.663,..
Food Prices for Nutrition 1.1,FPN 1.1,Saudi Arabia,SAU,2019,YR2019,35827362,..,..,3.888,..
Food Prices for Nutrition 1.1,FPN 1.1,Saudi Arabia,SAU,2020,YR2020,35997107,..,..,4.148,..
Food Prices for Nutrition 1.1,FPN 1.1,Senegal,SEN,2017,YR2017,15157793,53.4,8.1,2.19,0.677
Food Prices for Nutrition 1.1,FPN 1.1,Senegal,SEN,2018,YR2018,15574909,47.9,7.5,2.25,..
Food Prices for Nutrition 1.1,FPN 1.1,Senegal,SEN,2019,YR2019,16000781,45.9,7.2,2.278,..
Food Prices for Nutrition 1.1,FPN 1.1,Senegal,SEN,2020,YR2020,16436120,46.6,7.3,2.33,..
Food Prices for Nutrition 1.1,FPN 1.1,Serbia,SRB,2017,YR2017,7020858,27.2,1.9,4.07,0.608
Food Prices for Nutrition 1.1,FPN 1.1,Serbia,SRB,2018,YR2018,6982604,12.8,0.9,4.149,..
Food Prices for Nutrition 1.1,FPN 1.1,Serbia,SRB,2019,YR2019,6945235,14.6,1,4.174,..
Food Prices for Nutrition 1.1,FPN 1.1,Serbia,SRB,2020,YR2020,6899126,14.8,1,4.246,..
Food Prices for Nutrition 1.1,FPN 1.1,Seychelles,SYC,2017,YR2017,95843,8.7,0,4.01,0.807
Food Prices for Nutrition 1.1,FPN 1.1,Seychelles,SYC,2018,YR2018,96762,7.8,0,3.965,..
Food Prices for Nutrition 1.1,FPN 1.1,Seychelles,SYC,2019,YR2019,97625,7.3,0,3.923,..
Food Prices for Nutrition 1.1,FPN 1.1,Seychelles,SYC,2020,YR2020,98462,6.8,0,3.801,..
Food Prices for Nutrition 1.1,FPN 1.1,Sierra Leone,SLE,2017,YR2017,7677565,84.2,6.5,2.842,1.323
Food Prices for Nutrition 1.1,FPN 1.1,Sierra Leone,SLE,2018,YR2018,7861281,84.2,6.6,2.952,..
Food Prices for Nutrition 1.1,FPN 1.1,Sierra Leone,SLE,2019,YR2019,8046828,81.2,6.4,2.847,..
Food Prices for Nutrition 1.1,FPN 1.1,Sierra Leone,SLE,2020,YR2020,8233970,81.3,6.4,2.893,..
Food Prices for Nutrition 1.1,FPN 1.1,Singapore,SGP,2017,YR2017,5612253,..,..,2.775,0.548
Food Prices for Nutrition 1.1,FPN 1.1,Singapore,SGP,2018,YR2018,5638676,..,..,2.867,..
Food Prices for Nutrition 1.1,FPN 1.1,Singapore,SGP,2019,YR2019,5703569,..,..,2.936,..
Food Prices for Nutrition 1.1,FPN 1.1,Singapore,SGP,2020,YR2020,5685807,..,..,3.064,..
Food Prices for Nutrition 1.1,FPN 1.1,Sint Maarten (Dutch part),SXM,2017,YR2017,40574,..,..,4.462,0.833
Food Prices for Nutrition 1.1,FPN 1.1,Sint Maarten (Dutch part),SXM,2018,YR2018,40895,..,..,4.73,..
Food Prices for Nutrition 1.1,FPN 1.1,Sint Maarten (Dutch part),SXM,2019,YR2019,41608,..,..,4.77,..
Food Prices for Nutrition 1.1,FPN 1.1,Sint Maarten (Dutch part),SXM,2020,YR2020,42310,..,..,5.36,..
Food Prices for Nutrition 1.1,FPN 1.1,Slovak Republic,SVK,2017,YR2017,5439232,2.1,0.1,3.013,0.434
Food Prices for Nutrition 1.1,FPN 1.1,Slovak Republic,SVK,2018,YR2018,5446771,2.8,0.2,3.102,..
Food Prices for Nutrition 1.1,FPN 1.1,Slovak Republic,SVK,2019,YR2019,5454147,1.3,0.1,3.105,..
Food Prices for Nutrition 1.1,FPN 1.1,Slovak Republic,SVK,2020,YR2020,5458827,1.3,0.1,3.15,..
Food Prices for Nutrition 1.1,FPN 1.1,Slovenia,SVN,2017,YR2017,2066388,0.1,0,2.798,0.394
Food Prices for Nutrition 1.1,FPN 1.1,Slovenia,SVN,2018,YR2018,2073894,0.1,0,2.902,..
Food Prices for Nutrition 1.1,FPN 1.1,Slovenia,SVN,2019,YR2019,2088385,0.1,0,2.916,..
Food Prices for Nutrition 1.1,FPN 1.1,Slovenia,SVN,2020,YR2020,2102419,0.1,0,3.07,..
Food Prices for Nutrition 1.1,FPN 1.1,South Africa,ZAF,2017,YR2017,56641209,65.7,37.2,4.102,0.95
Food Prices for Nutrition 1.1,FPN 1.1,South Africa,ZAF,2018,YR2018,57339635,65.2,37.4,4.146,..
Food Prices for Nutrition 1.1,FPN 1.1,South Africa,ZAF,2019,YR2019,58087055,65.4,37.5,4.198,..
Food Prices for Nutrition 1.1,FPN 1.1,South Africa,ZAF,2020,YR2020,58801927,65.8,37.7,4.298,..
Food Prices for Nutrition 1.1,FPN 1.1,South Asia,SAS,2017,YR2017,1783225288,78.3,1396.5,3.558,..
Food Prices for Nutrition 1.1,FPN 1.1,South Asia,SAS,2018,YR2018,1803847309,73.6,1326.8,3.61,..
Food Prices for Nutrition 1.1,FPN 1.1,South Asia,SAS,2019,YR2019,1823829015,72,1299,3.661,..
Food Prices for Nutrition 1.1,FPN 1.1,South Asia,SAS,2020,YR2020,1843559390,73.2,1320.3,3.842,..
Food Prices for Nutrition 1.1,FPN 1.1,Spain,ESP,2017,YR2017,46593236,1.7,0.8,2.699,0.371
Food Prices for Nutrition 1.1,FPN 1.1,Spain,ESP,2018,YR2018,46797754,1.9,0.9,2.741,..
Food Prices for Nutrition 1.1,FPN 1.1,Spain,ESP,2019,YR2019,47134837,1.7,0.8,2.744,..
Food Prices for Nutrition 1.1,FPN 1.1,Spain,ESP,2020,YR2020,47365655,1.8,0.8,2.838,..
Food Prices for Nutrition 1.1,FPN 1.1,Sri Lanka,LKA,2017,YR2017,21444000,53.8,11.5,3.702,0.671
Food Prices for Nutrition 1.1,FPN 1.1,Sri Lanka,LKA,2018,YR2018,21670000,50.1,10.9,3.705,..
Food Prices for Nutrition 1.1,FPN 1.1,Sri Lanka,LKA,2019,YR2019,21803000,46.8,10.1,3.667,..
Food Prices for Nutrition 1.1,FPN 1.1,Sri Lanka,LKA,2020,YR2020,21919000,50.4,10.9,3.923,..
Food Prices for Nutrition 1.1,FPN 1.1,St. Kitts and Nevis,KNA,2017,YR2017,47785,..,..,2.998,0.462
Food Prices for Nutrition 1.1,FPN 1.1,St. Kitts and Nevis,KNA,2018,YR2018,47761,..,..,3.179,..
Food Prices for Nutrition 1.1,FPN 1.1,St. Kitts and Nevis,KNA,2019,YR2019,47712,..,..,3.31,..
Food Prices for Nutrition 1.1,FPN 1.1,St. Kitts and Nevis,KNA,2020,YR2020,47642,..,..,3.405,..
Food Prices for Nutrition 1.1,FPN 1.1,St. Lucia,LCA,2017,YR2017,177163,20.9,0,3.263,1.836
Food Prices for Nutrition 1.1,FPN 1.1,St. Lucia,LCA,2018,YR2018,177888,20.6,0,3.399,..
Food Prices for Nutrition 1.1,FPN 1.1,St. Lucia,LCA,2019,YR2019,178583,21.2,0,3.517,..
Food Prices for Nutrition 1.1,FPN 1.1,St. Lucia,LCA,2020,YR2020,179237,21.4,0,3.594,..
Food Prices for Nutrition 1.1,FPN 1.1,St. Vincent and the Grenadines,VCT,2017,YR2017,105549,..,..,4.131,0.785
Food Prices for Nutrition 1.1,FPN 1.1,St. Vincent and the Grenadines,VCT,2018,YR2018,105281,..,..,4.232,..
Food Prices for Nutrition 1.1,FPN 1.1,St. Vincent and the Grenadines,VCT,2019,YR2019,104924,..,..,4.293,..
Food Prices for Nutrition 1.1,FPN 1.1,St. Vincent and the Grenadines,VCT,2020,YR2020,104632,..,..,4.454,..
Food Prices for Nutrition 1.1,FPN 1.1,Sub-Saharan Africa,SSF,2017,YR2017,1034965620,84.4,865.4,3.249,..
Food Prices for Nutrition 1.1,FPN 1.1,Sub-Saharan Africa,SSF,2018,YR2018,1054328910,83.1,874.4,3.253,..
Food Prices for Nutrition 1.1,FPN 1.1,Sub-Saharan Africa,SSF,2019,YR2019,1082586911,83,873.8,3.381,..
Food Prices for Nutrition 1.1,FPN 1.1,Sub-Saharan Africa,SSF,2020,YR2020,1111353950,83.4,877.7,3.474,..
Food Prices for Nutrition 1.1,FPN 1.1,Sudan,SDN,2017,YR2017,40679828,87.7,35.7,3.674,0.824
Food Prices for Nutrition 1.1,FPN 1.1,Sudan,SDN,2018,YR2018,41999059,90.2,37.9,3.921,..
Food Prices for Nutrition 1.1,FPN 1.1,Sudan,SDN,2019,YR2019,43232093,92.9,39,4.306,..
Food Prices for Nutrition 1.1,FPN 1.1,Sudan,SDN,2020,YR2020,44440486,92.7,38.9,4.308,..
Food Prices for Nutrition 1.1,FPN 1.1,Suriname,SUR,2017,YR2017,587559,43.7,0.3,4.969,0.604
Food Prices for Nutrition 1.1,FPN 1.1,Suriname,SUR,2018,YR2018,593715,42.7,0.3,5.223,..
Food Prices for Nutrition 1.1,FPN 1.1,Suriname,SUR,2019,YR2019,600301,42.7,0.3,5.336,..
Food Prices for Nutrition 1.1,FPN 1.1,Suriname,SUR,2020,YR2020,607065,45.2,0.3,5.739,..
Food Prices for Nutrition 1.1,FPN 1.1,Sweden,SWE,2017,YR2017,10057698,0.6,0.1,3.086,0.417
Food Prices for Nutrition 1.1,FPN 1.1,Sweden,SWE,2018,YR2018,10175214,1.2,0.1,3.164,..
Food Prices for Nutrition 1.1,FPN 1.1,Sweden,SWE,2019,YR2019,10278887,0.6,0.1,3.154,..
Food Prices for Nutrition 1.1,FPN 1.1,Sweden,SWE,2020,YR2020,10353442,0.7,0.1,3.339,..
Food Prices for Nutrition 1.1,FPN 1.1,Switzerland,CHE,2017,YR2017,8451840,0,0,2.523,0.333
Food Prices for Nutrition 1.1,FPN 1.1,Switzerland,CHE,2018,YR2018,8514329,0,0,2.591,..
Food Prices for Nutrition 1.1,FPN 1.1,Switzerland,CHE,2019,YR2019,8575280,0,0,2.563,..
Food Prices for Nutrition 1.1,FPN 1.1,Switzerland,CHE,2020,YR2020,8638167,0,0,2.659,..
Food Prices for Nutrition 1.1,FPN 1.1,"Taiwan, China",TWN,2017,YR2017,23552470,0.2,0.1,3.99,0.427
Food Prices for Nutrition 1.1,FPN 1.1,"Taiwan, China",TWN,2018,YR2018,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,"Taiwan, China",TWN,2019,YR2019,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,"Taiwan, China",TWN,2020,YR2020,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Tajikistan,TJK,2017,YR2017,8925525,50,4.5,3.027,1.203
Food Prices for Nutrition 1.1,FPN 1.1,Tajikistan,TJK,2018,YR2018,9128132,46.8,4.3,3.119,..
Food Prices for Nutrition 1.1,FPN 1.1,Tajikistan,TJK,2019,YR2019,9337003,49.3,4.5,3.433,..
Food Prices for Nutrition 1.1,FPN 1.1,Tajikistan,TJK,2020,YR2020,9543207,49.4,4.5,3.48,..
Food Prices for Nutrition 1.1,FPN 1.1,Tanzania,TZA,2017,YR2017,56267032,85.9,48.3,2.598,0.976
Food Prices for Nutrition 1.1,FPN 1.1,Tanzania,TZA,2018,YR2018,58090443,85.5,49.7,2.648,..
Food Prices for Nutrition 1.1,FPN 1.1,Tanzania,TZA,2019,YR2019,59872579,84.8,49.3,2.681,..
Food Prices for Nutrition 1.1,FPN 1.1,Tanzania,TZA,2020,YR2020,61704518,85,49.4,2.736,..
Food Prices for Nutrition 1.1,FPN 1.1,Thailand,THA,2017,YR2017,70898202,20.5,14.5,3.971,0.656
Food Prices for Nutrition 1.1,FPN 1.1,Thailand,THA,2018,YR2018,71127802,21,15,4.042,..
Food Prices for Nutrition 1.1,FPN 1.1,Thailand,THA,2019,YR2019,71307763,19.1,13.6,4.181,..
Food Prices for Nutrition 1.1,FPN 1.1,Thailand,THA,2020,YR2020,71475664,20.3,14.4,4.321,..
Food Prices for Nutrition 1.1,FPN 1.1,Togo,TGO,2017,YR2017,7852795,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Togo,TGO,2018,YR2018,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Togo,TGO,2019,YR2019,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Togo,TGO,2020,YR2020,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Trinidad and Tobago,TTO,2017,YR2017,1478607,7,0.1,3.928,0.501
Food Prices for Nutrition 1.1,FPN 1.1,Trinidad and Tobago,TTO,2018,YR2018,1504709,7.1,0.1,4.028,..
Food Prices for Nutrition 1.1,FPN 1.1,Trinidad and Tobago,TTO,2019,YR2019,1519955,7.3,0.1,4.083,..
Food Prices for Nutrition 1.1,FPN 1.1,Trinidad and Tobago,TTO,2020,YR2020,1518147,7.7,0.1,4.224,..
Food Prices for Nutrition 1.1,FPN 1.1,Tunisia,TUN,2017,YR2017,11811443,15.7,1.9,3.476,0.64
Food Prices for Nutrition 1.1,FPN 1.1,Tunisia,TUN,2018,YR2018,11933041,15.2,1.8,3.559,..
